Unnamed: 0,Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min,SimillarHTTP, Inbound, Label
36,192.168.50.8-216.58.219.198-59070-443-6,192.168.50.8,59070,216.58.219.198,443,6,2018-12-01 10:48:48.459725,1466,4,0,123.0,0.0,46.0,0.0,30.75,21.68524844220144,0.0,0.0,0.0,0.0,83901.77353342428,2728.512960436562,488.6666666666666,841.1993422092849,1460.0,3.0,1466.0,488.6666666666666,841.1993422092849,1460.0,3.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,80,0,2728.512960436562,0.0,0.0,46.0,33.8,19.979989989987484,399.2,0,0,1,0,0,1,0,0,0.0,42.25,30.75,0.0,80,0,0,0,0,0,0,4,123,0,0,16230,-1,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,BENIGN
34,172.217.6.226-192.168.50.8-443-59063-6,192.168.50.8,59063,172.217.6.226,443,6,2018-12-01 10:48:48.459822,610,4,0,123.0,0.0,46.0,0.0,30.75,21.68524844220144,0.0,0.0,0.0,0.0,201639.34426229508,6557.377049180328,203.3333333333333,346.9875117829651,604.0,3.0,610.0,203.3333333333333,346.9875117829651,604.0,3.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,80,0,6557.377049180328,0.0,0.0,46.0,33.8,19.979989989987484,399.2,0,0,1,0,0,1,0,0,0.0,42.25,30.75,0.0,80,0,0,0,0,0,0,4,123,0,0,16508,-1,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,BENIGN
32,172.217.11.2-192.168.50.8-443-59087-6,192.168.50.8,59087,172.217.11.2,443,6,2018-12-01 10:48:48.459909,249,4,0,123.0,0.0,46.0,0.0,30.75,21.68524844220144,0.0,0.0,0.0,0.0,493975.9036144579,16064.257028112452,83.0,140.2996792583647,245.0,1.0,249.0,83.0,140.2996792583647,245.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,80,0,16064.257028112452,0.0,0.0,46.0,33.8,19.979989989987484,399.2,0,0,1,0,0,1,0,0,0.0,42.25,30.75,0.0,80,0,0,0,0,0,0,4,123,0,0,16254,-1,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,BENIGN
33,172.217.11.2-192.168.50.8-443-59087-6,192.168.50.8,59087,172.217.11.2,443,6,2018-12-01 10:48:48.460159,1,2,0,31.0,0.0,31.0,0.0,15.5,21.92031021678297,0.0,0.0,0.0,0.0,31000000.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,40,0,2000000.0,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,0,1,0,0,1,0,0,0.0,31.0,15.5,0.0,40,0,0,0,0,0,0,2,31,0,0,16254,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,BENIGN
35,172.217.6.226-192.168.50.8-443-59063-6,192.168.50.8,59063,172.217.6.226,443,6,2018-12-01 10:48:48.460433,1,2,0,31.0,0.0,31.0,0.0,15.5,21.92031021678297,0.0,0.0,0.0,0.0,31000000.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,40,0,2000000.0,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,0,1,0,0,1,0,0,0.0,31.0,15.5,0.0,40,0,0,0,0,0,0,2,31,0,0,16508,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,BENIGN
37,192.168.50.8-216.58.219.198-59070-443-6,192.168.50.8,59070,216.58.219.198,443,6,2018-12-01 10:48:48.461192,1,2,0,31.0,0.0,31.0,0.0,15.5,21.92031021678297,0.0,0.0,0.0,0.0,31000000.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,40,0,2000000.0,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,0,1,0,0,1,0,0,0.0,31.0,15.5,0.0,40,0,0,0,0,0,0,2,31,0,0,16230,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,BENIGN
38,192.168.50.8-216.58.219.198-59070-443-6,216.58.219.198,443,192.168.50.8,59070,6,2018-12-01 10:48:48.493331,4,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750000.0,2.0,0.0,2.0,2.0,4.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,0,750000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,60,0,0,0,0,0,0,3,0,0,0,267,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,BENIGN
1570,192.168.50.8-216.58.219.198-59070-443-6,216.58.219.198,443,192.168.50.8,59070,6,2018-12-01 10:48:48.493336,162,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18518.51851851852,81.0,110.3086578651014,159.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,20,40,6172.83950617284,12345.67901234568,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,2.0,0.0,0.0,0.0,20,0,0,0,0,0,0,1,0,2,0,267,16230,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,BENIGN
39,172.217.11.2-192.168.50.8-443-59087-6,172.217.11.2,443,192.168.50.8,59087,6,2018-12-01 10:48:48.500802,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1.5,0.7071067811865476,2.0,1.0,3.0,1.5,0.7071067811865476,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,60,0,0,0,0,0,0,3,0,0,0,254,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,BENIGN
2143,172.217.11.2-192.168.50.8-443-59087-6,172.217.11.2,443,192.168.50.8,59087,6,2018-12-01 10:48:48.500806,160,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18750.0,80.0,110.3086578651014,158.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0,0,0,0,20,40,6249.999999999999,12499.999999999998,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,2.0,0.0,0.0,0.0,20,0,0,0,0,0,0,1,0,2,0,254,16254,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,BENIGN
40,172.217.6.226-192.168.50.8-443-59063-6,172.217.6.226,443,192.168.50.8,59063,6,2018-12-01 10:48:48.501265,4,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750000.0,2.0,1.4142135623730951,3.0,1.0,4.0,2.0,1.4142135623730951,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,0,750000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,60,0,0,0,0,0,0,3,0,0,0,277,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,BENIGN
1187,172.217.6.226-192.168.50.8-443-59063-6,172.217.6.226,443,192.168.50.8,59063,6,2018-12-01 10:48:48.501270,162,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18518.51851851852,81.0,110.3086578651014,159.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,20,40,6172.83950617284,12345.67901234568,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,2.0,0.0,0.0,0.0,20,0,0,0,0,0,0,1,0,2,0,277,16508,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,BENIGN
1889,172.16.0.5-192.168.50.1-634-36782-17,172.16.0.5,634,192.168.50.1,36782,17,2018-12-01 10:48:48.642456,15113,8,0,3232.0,0.0,440.0,296.0,404.0,66.65904718362371,0.0,0.0,0.0,0.0,213855.6209885529,529.3455965063191,2158.9999999999995,2689.157922721038,5133.0,3.0,15113.0,2158.9999999999995,2689.157922721038,5133.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,160,0,529.3455965063191,0.0,296.0,440.0,408.0,63.49803146555018,4032.0,0,0,0,0,0,0,0,0,0.0,459.0,404.0,0.0,160,0,0,0,0,0,0,8,3232,0,0,-1,-1,7,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,DrDoS_NTP
987,172.16.0.5-192.168.50.1-36782-634-17,192.168.50.1,634,172.16.0.5,36782,17,2018-12-01 10:48:48.642573,3,2,0,880.0,0.0,440.0,440.0,440.0,0.0,0.0,0.0,0.0,0.0,293333333.3333333,666666.6666666666,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,666666.6666666665,0.0,440.0,440.0,440.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,660.0,440.0,0.0,40,0,0,0,0,0,0,2,880,0,0,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,DrDoS_NTP
599,172.16.0.5-192.168.50.1-634-12061-17,172.16.0.5,634,192.168.50.1,12061,17,2018-12-01 10:48:48.662687,14961,8,0,3232.0,0.0,440.0,296.0,404.0,66.65904718362371,0.0,0.0,0.0,0.0,216028.3403515808,534.7236147316356,2137.285714285714,2661.968238871739,5013.0,3.0,14961.0,2137.285714285714,2661.968238871739,5013.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,160,0,534.7236147316356,0.0,296.0,440.0,408.0,63.49803146555018,4032.0,0,0,0,0,0,0,0,0,0.0,459.0,404.0,0.0,160,0,0,0,0,0,0,8,3232,0,0,-1,-1,7,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,DrDoS_NTP
1476,172.16.0.5-192.168.50.1-634-35566-17,172.16.0.5,634,192.168.50.1,35566,17,2018-12-01 10:48:48.904769,34257,200,0,88000.0,0.0,440.0,440.0,440.0,0.0,0.0,0.0,0.0,0.0,2568818.0517850365,5838.222844965992,172.14572864321602,203.7680992006977,1053.0,1.0,34257.0,172.14572864321602,203.7680992006977,1053.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,4000,0,5838.222844965992,0.0,440.0,440.0,440.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,442.2,440.0,0.0,4000,0,0,0,0,0,0,200,88000,0,0,-1,-1,199,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,DrDoS_NTP
2127,172.16.0.5-192.168.50.1-35566-634-17,192.168.50.1,634,172.16.0.5,35566,17,2018-12-01 10:48:48.904896,3,2,0,880.0,0.0,440.0,440.0,440.0,0.0,0.0,0.0,0.0,0.0,293333333.3333333,666666.6666666666,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,666666.6666666665,0.0,440.0,440.0,440.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,660.0,440.0,0.0,40,0,0,0,0,0,0,2,880,0,0,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,DrDoS_NTP
966,172.16.0.5-192.168.50.1-634-41121-17,172.16.0.5,634,192.168.50.1,41121,17,2018-12-01 10:48:48.939816,27741,200,0,88000.0,0.0,440.0,440.0,440.0,0.0,0.0,0.0,0.0,0.0,3172199.9927904545,7209.545438160125,139.40201005025116,161.10461246517886,569.0,1.0,27741.0,139.40201005025116,161.10461246517886,569.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,4000,0,7209.545438160125,0.0,440.0,440.0,440.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,442.2,440.0,0.0,4000,0,0,0,0,0,0,200,88000,0,0,-1,-1,199,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,DrDoS_NTP
2356,172.16.0.5-192.168.50.1-634-16053-17,172.16.0.5,634,192.168.50.1,16053,17,2018-12-01 10:48:48.978098,27478,200,0,88000.0,0.0,440.0,440.0,440.0,0.0,0.0,0.0,0.0,0.0,3202562.049639712,7278.550112817527,138.08040201005028,157.50296956584597,531.0,1.0,27478.0,138.08040201005028,157.50296956584597,531.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,4000,0,7278.550112817526,0.0,440.0,440.0,440.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,442.2,440.0,0.0,4000,0,0,0,0,0,0,200,88000,0,0,-1,-1,199,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,DrDoS_NTP
1703,172.16.0.5-192.168.50.1-634-14529-17,172.16.0.5,634,192.168.50.1,14529,17,2018-12-01 10:48:49.076805,23468,200,0,88000.0,0.0,440.0,440.0,440.0,0.0,0.0,0.0,0.0,0.0,3749786.943923641,8522.243054371911,117.92964824120604,117.74044847651722,287.0,1.0,23468.0,117.92964824120604,117.74044847651722,287.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,4000,0,8522.243054371911,0.0,440.0,440.0,440.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,442.2,440.0,0.0,4000,0,0,0,0,0,0,200,88000,0,0,-1,-1,199,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,DrDoS_NTP
1166,172.16.0.5-192.168.50.1-723-63946-17,172.16.0.5,723,192.168.50.1,63946,17,2018-12-01 10:48:49.100570,24886,200,0,88000.0,0.0,440.0,440.0,440.0,0.0,0.0,0.0,0.0,0.0,3536124.7287631603,8036.647110825364,125.05527638190958,136.75902998568412,1008.0,1.0,24886.0,125.05527638190958,136.75902998568412,1008.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,4000,0,8036.647110825363,0.0,440.0,440.0,440.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,442.2,440.0,0.0,4000,0,0,0,0,0,0,200,88000,0,0,-1,-1,199,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,DrDoS_NTP
465,172.16.0.5-192.168.50.1-634-22529-17,172.16.0.5,634,192.168.50.1,22529,17,2018-12-01 10:48:49.125754,23723,200,0,88000.0,0.0,440.0,440.0,440.0,0.0,0.0,0.0,0.0,0.0,3709480.25123298,8430.63693462041,119.21105527638191,119.36585674283693,347.0,1.0,23723.0,119.21105527638191,119.36585674283693,347.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,4000,0,8430.636934620408,0.0,440.0,440.0,440.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,442.2,440.0,0.0,4000,0,0,0,0,0,0,200,88000,0,0,-1,-1,199,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,DrDoS_NTP
2277,172.16.0.5-192.168.50.1-634-49856-17,172.16.0.5,634,192.168.50.1,49856,17,2018-12-01 10:48:49.136978,29103,196,0,85664.0,0.0,440.0,152.0,437.0612244897959,29.017701521138072,0.0,0.0,0.0,0.0,2943476.6175308386,6734.700889942617,149.24615384615382,171.57415794132632,831.0,1.0,29103.0,149.24615384615382,171.57415794132632,831.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3920,0,6734.700889942617,0.0,152.0,440.0,437.0761421319797,28.944339430032247,837.7747850409198,0,0,0,0,0,0,0,0,0.0,439.3061224489797,437.0612244897959,0.0,3920,0,0,0,0,0,0,196,85664,0,0,-1,-1,195,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,DrDoS_NTP
2510,172.16.0.5-192.168.50.1-634-36680-17,172.16.0.5,634,192.168.50.1,36680,17,2018-12-01 10:48:49.149762,23897,200,0,88000.0,0.0,440.0,440.0,440.0,0.0,0.0,0.0,0.0,0.0,3682470.603004561,8369.251370464912,120.0854271356784,120.69335774905296,324.0,1.0,23897.0,120.0854271356784,120.69335774905296,324.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,4000,0,8369.251370464912,0.0,440.0,440.0,440.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,442.2,440.0,0.0,4000,0,0,0,0,0,0,200,88000,0,0,-1,-1,199,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,DrDoS_NTP
2139,172.16.0.5-192.168.50.1-634-25661-17,172.16.0.5,634,192.168.50.1,25661,17,2018-12-01 10:48:49.165145,27749,196,0,85664.0,0.0,440.0,152.0,437.0612244897959,29.017701521138072,0.0,0.0,0.0,0.0,3087102.237918484,7063.317597030524,142.3025641025642,160.8517142043057,871.0,1.0,27749.0,142.3025641025642,160.8517142043057,871.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3920,0,7063.317597030524,0.0,152.0,440.0,437.0761421319797,28.944339430032247,837.7747850409198,0,0,0,0,0,0,0,0,0.0,439.3061224489797,437.0612244897959,0.0,3920,0,0,0,0,0,0,196,85664,0,0,-1,-1,195,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,DrDoS_NTP
408,172.16.0.5-192.168.50.1-634-17109-17,172.16.0.5,634,192.168.50.1,17109,17,2018-12-01 10:48:49.173943,25293,200,0,88000.0,0.0,440.0,440.0,440.0,0.0,0.0,0.0,0.0,0.0,3479223.500573281,7907.326137666548,127.10050251256284,180.9087608360108,2053.0,1.0,25293.0,127.10050251256284,180.9087608360108,2053.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,4000,0,7907.326137666548,0.0,440.0,440.0,440.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,442.2,440.0,0.0,4000,0,0,0,0,0,0,200,88000,0,0,-1,-1,199,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,DrDoS_NTP
993,172.16.0.5-192.168.50.1-634-2733-17,172.16.0.5,634,192.168.50.1,2733,17,2018-12-01 10:48:49.194587,26009,196,0,85664.0,0.0,440.0,152.0,437.0612244897959,29.017701521138072,0.0,0.0,0.0,0.0,3293629.128378638,7535.852973970548,133.37948717948714,148.179327097666,503.0,1.0,26009.0,133.37948717948714,148.179327097666,503.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3920,0,7535.852973970548,0.0,152.0,440.0,437.0761421319797,28.944339430032247,837.7747850409198,0,0,0,0,0,0,0,0,0.0,439.3061224489797,437.0612244897959,0.0,3920,0,0,0,0,0,0,196,85664,0,0,-1,-1,195,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,DrDoS_NTP
321,172.16.0.5-192.168.50.1-634-21985-17,172.16.0.5,634,192.168.50.1,21985,17,2018-12-01 10:48:49.200145,24204,200,0,88000.0,0.0,440.0,440.0,440.0,0.0,0.0,0.0,0.0,0.0,3635762.683853909,8263.097008758883,121.6281407035176,123.0715994778678,388.0,0.0,24204.0,121.6281407035176,123.0715994778678,388.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,4000,0,8263.097008758883,0.0,440.0,440.0,440.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,442.2,440.0,0.0,4000,0,0,0,0,0,0,200,88000,0,0,-1,-1,199,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,DrDoS_NTP
1869,172.16.0.5-192.168.50.1-634-14034-17,172.16.0.5,634,192.168.50.1,14034,17,2018-12-01 10:48:49.220888,26056,196,0,85664.0,0.0,440.0,152.0,437.0612244897959,29.017701521138072,0.0,0.0,0.0,0.0,3287688.056493706,7522.259748234572,133.62051282051272,152.76263370820638,624.0,1.0,26056.0,133.62051282051272,152.76263370820638,624.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3920,0,7522.259748234572,0.0,152.0,440.0,437.0761421319797,28.944339430032247,837.7747850409198,0,0,0,0,0,0,0,0,0.0,439.3061224489797,437.0612244897959,0.0,3920,0,0,0,0,0,0,196,85664,0,0,-1,-1,195,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,DrDoS_NTP
482,172.16.0.5-192.168.50.1-634-32864-17,172.16.0.5,634,192.168.50.1,32864,17,2018-12-01 10:48:49.224674,23708,200,0,88000.0,0.0,440.0,440.0,440.0,0.0,0.0,0.0,0.0,0.0,3711827.231314324,8435.970980259828,119.1356783919598,119.42943769988275,300.0,1.0,23708.0,119.1356783919598,119.42943769988275,300.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,4000,0,8435.970980259828,0.0,440.0,440.0,440.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,442.2,440.0,0.0,4000,0,0,0,0,0,0,200,88000,0,0,-1,-1,199,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,DrDoS_NTP
1200,172.16.0.5-192.168.50.1-634-2663-17,172.16.0.5,634,192.168.50.1,2663,17,2018-12-01 10:48:49.247963,26338,196,0,85664.0,0.0,440.0,152.0,437.0612244897959,29.017701521138072,0.0,0.0,0.0,0.0,3252486.901055509,7441.71918900448,135.06666666666672,151.81252229114247,648.0,1.0,26338.0,135.06666666666672,151.81252229114247,648.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3920,0,7441.71918900448,0.0,152.0,440.0,437.0761421319797,28.944339430032247,837.7747850409198,0,0,0,0,0,0,0,0,0.0,439.3061224489797,437.0612244897959,0.0,3920,0,0,0,0,0,0,196,85664,0,0,-1,-1,195,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,DrDoS_NTP
1650,172.16.0.5-192.168.50.1-724-9094-17,172.16.0.5,724,192.168.50.1,9094,17,2018-12-01 10:48:49.248654,24238,200,0,88000.0,0.0,440.0,440.0,440.0,0.0,0.0,0.0,0.0,0.0,3630662.595923756,8251.50589982672,121.79899497487438,126.4441817961425,690.0,1.0,24238.0,121.79899497487438,126.4441817961425,690.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,4000,0,8251.50589982672,0.0,440.0,440.0,440.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,442.2,440.0,0.0,4000,0,0,0,0,0,0,200,88000,0,0,-1,-1,199,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,DrDoS_NTP
